userId,device,OS,Step number
67988953,UnknownTablet,Android,1
67988952,iPhone,iOS,1
67988952,iPhone,iOS,1
67988950,UnknownPhone,Android,1
67988950,UnknownPhone,Android,1
67988947,Alcatel,Android,1
67988939,desktop,Chrome OS aarch64,1
67988939,desktop,Windows,1
67988938,UnknownPhone,Android,1
67988938,UnknownPhone,Android,1
67988937,UnknownPhone,Android,1
67988937,UnknownPhone,Android,1
67988936,UnknownPhone,Android,1
67988936,UnknownPhone,Android,1
67988935,Samsung,Android,1
67988935,UnknownPhone,Android,1
67988935,Samsung,Android,1
67988935,UnknownPhone,Android,1
67988933,Samsung,Android,1
67988932,UnknownPhone,Android,1
67988932,UnknownPhone,Android,1
67988932,UnknownPhone,Android,1
67988932,UnknownPhone,Android,1
67988930,UnknownPhone,Android,1
67988929,iPhone,iOS,1
67988929,iPhone,iOS,1
67988929,desktop,Windows,1
67988929,OnePlus,Android,1
67988928,iPhone,iOS,1
67988928,UnknownPhone,Android,1
67988928,UnknownPhone,Android,1
67988927,UnknownPhone,Android,1
67988927,UnknownPhone,Android,1
67988927,UnknownPhone,Android,1
67988927,UnknownPhone,Android,1
67988926,UnknownPhone,Android,1
67988926,UnknownPhone,Android,1
67988926,UnknownPhone,Android,1
67988925,desktop,Windows,1
67988925,UnknownPhone,Android,1
67988925,desktop,Linux,1
67988925,UnknownPhone,Android,1
67988925,UnknownPhone,Android,1
67988925,UnknownPhone,Android,1
67988923,iPad,iOS,1
67988922,iPhone,iOS,1
67988922,iPhone,iOS,1
67988922,UnknownPhone,Android,1
67988922,UnknownPhone,Android,1
67988922,UnknownPhone,Android,1
67988922,iPhone,iOS,1
67988922,iPhone,iOS,1
67988920,desktop,Windows,1
67988920,UnknownPhone,Android,1
67988920,UnknownPhone,Android,1
67988909,desktop,Windows,1
67988908,Samsung,Android,1
67988908,Samsung,Android,1
67988907,UnknownPhone,Android,1
67988907,UnknownPhone,Android,1
67988906,desktop,Windows,1
67988905,desktop,Windows,1
67988905,UnknownPhone,Android,1
67988905,UnknownPhone,Android,1
67988903,UnknownPhone,Android,1
67988903,UnknownPhone,Android,1
67988902,iPhone,iOS,1
67988902,iPhone,iOS,1
67988902,UnknownPhone,Android,1
67988902,UnknownPhone,Android,1
67988900,desktop,Chrome OS,1
67988899,iPhone,iOS,1
67988899,iPhone,iOS,1
67988896,UnknownPhone,Android,1
67988896,UnknownPhone,Android,1
67988895,UnknownPhone,Android,1
67988895,UnknownPhone,Android,1
67988895,UnknownPhone,Android,1
67988895,UnknownPhone,Android,1
67988893,desktop,Linux,1
67988892,UnknownPhone,Android,1
67988892,UnknownPhone,Android,1
67988892,UnknownPhone,Android,1
67988890,iPhone,iOS,1
67988890,iPhone,iOS,1
67988889,HTC,Android,1
67988889,Pixel,Android,1
67988888,iPhone,iOS,1
67988888,iPhone,iOS,1
67988887,UnknownPhone,Android,1
67988887,UnknownPhone,Android,1
67988886,UnknownPhone,Android,1
67988886,UnknownPhone,Android,1
67988885,UnknownPhone,Android,1
67988885,UnknownPhone,Android,1
67988885,UnknownPhone,Android,1
67988885,UnknownPhone,Android,1
67988883,Samsung,Android,1
67988883,Samsung,Android,1
67988882,iPhone,iOS,1
67988882,iPhone,iOS,1
67988882,UnknownPhone,Android,1
67988882,UnknownPhone,Android,1
67988879,UnknownPhone,Android,1
67988879,UnknownPhone,Android,1
67988878,desktop,Windows,1
67988877,UnknownPhone,Android,1
67988877,UnknownPhone,Android,1
67988875,UnknownPhone,Android,1
67988875,UnknownPhone,Android,1
67988875,UnknownPhone,Android,1
67988875,UnknownPhone,Android,1
67988873,UnknownPhone,Android,1
67988873,UnknownPhone,Android,1
67988872,UnknownPhone,Android,1
67988872,UnknownPhone,Android,1
67988870,iPhone,iOS,1
67988870,iPhone,iOS,1
67988869,UnknownPhone,Android,1
67988868,iPhone,iOS,1
67988867,UnknownPhone,Android,1
67988867,UnknownPhone,Android,1
67988866,desktop,Windows,1
67988865,iPhone,iOS,1
67988865,iPhone,iOS,1
67988865,iPhone,iOS,1
67988865,iPhone,iOS,1
67988863,iPhone,iOS,1
67988862,desktop,OS X,1
67988862,iPhone,iOS,1
67988860,UnknownPhone,Android,1
67988860,UnknownPhone,Android,1
67988859,UnknownPhone,Android,1
67988859,iPhone,iOS,1
67988859,UnknownPhone,Android,1
67988858,UnknownPhone,Android,1
67988858,UnknownPhone,Android,1
67988858,UnknownPhone,Android,1
67988858,UnknownPhone,Android,1
67988857,UnknownPhone,Android,1
67988857,Motorola,Android,1
67988857,Motorola,Android,1
67988856,UnknownPhone,Android,1
67988855,desktop,Chrome OS,1
67988855,iPhone,iOS,1
67988855,iPhone,iOS,1
67988855,desktop,Windows,1
67988855,UnknownPhone,Android,1
67988853,UnknownPhone,Android,1
67988853,UnknownPhone,Android,1
67988853,UnknownPhone,Android,1
67988852,iPhone,iOS,1
67988852,UnknownPhone,Android,1
67988852,Samsung,Android,1
67988852,Samsung,Android,1
67988852,UnknownPhone,Android,1
67988852,UnknownPhone,Android,1
67988852,UnknownPhone,Android,1
67988850,iPhone,iOS,1
67988850,iPhone,iOS,1
67988850,iPhone,iOS,1
67988850,iPhone,iOS,1
67988839,UnknownPhone,Android,1
67988839,UnknownPhone,Android,1
67988838,iPhone,iOS,1
67988838,iPhone,iOS,1
67988837,Motorola,Android,1
67988837,Motorola,Android,1
67988836,UnknownPhone,Android,1
67988836,UnknownPhone,Android,1
67988835,Samsung,Android,1
67988835,UnknownTablet,Android,1
67988835,Samsung,Android,1
67988833,UnknownPhone,Android,1
67988833,UnknownPhone,Android,1
67988832,UnknownPhone,Android,1
67988832,UnknownPhone,Android,1
67988832,UnknownPhone,Android,1
67988830,desktop,Windows,1
67988829,UnknownPhone,Android,1
67988829,UnknownPhone,Android,1
67988829,UnknownPhone,Android,1
67988829,UnknownPhone,Android,1
67988828,UnknownPhone,Android,1
67988828,desktop,OS X,1
67988828,UnknownPhone,Android,1
67988827,UnknownPhone,Android,1
67988827,desktop,Windows,1
67988827,UnknownPhone,Android,1
67988826,Samsung,Android,1
67988826,desktop,Windows,1
67988826,Samsung,Android,1
67988825,UnknownPhone,Android,1
67988825,UnknownPhone,Android,1
67988825,UnknownPhone,Android,1
67988825,UnknownPhone,Android,1
67988825,iPhone,iOS,1
67988825,iPhone,iOS,1
67988825,UnknownPhone,Android,1
67988823,UnknownPhone,Android,1
67988823,UnknownPhone,Android,1
67988823,UnknownPhone,Android,1
67988822,iPhone,iOS,1
67988822,iPhone,iOS,1
67988822,UnknownPhone,Android,1
67988822,iPhone,iOS,1
67988822,UnknownPhone,Android,1
67988820,UnknownPhone,Android,1
67988820,Samsung,Android,1
67988820,UnknownPhone,Android,1
67988809,UnknownPhone,Android,1
67988809,UnknownPhone,Android,1
67988808,desktop,Windows,1
67988807,UnknownPhone,Android,1
67988807,UnknownPhone,Android,1
67988806,iPhone,iOS,1
67988806,iPhone,iOS,1
67988805,iPhone,iOS,1
67988805,iPhone,iOS,1
67988805,iPhone,iOS,1
67988805,iPhone,iOS,1
67988803,UnknownPhone,Android,1
67988803,UnknownPhone,Android,1
67988802,UnknownPhone,Android,1
67988802,iPhone,iOS,1
67988802,iPhone,iOS,1
67988802,UnknownPhone,Android,1
67988800,UnknownPhone,Android,1
67988800,UnknownPhone,Android,1
67988799,iPhone,iOS,1
67988799,iPhone,iOS,1
67988798,UnknownPhone,Android,1
67988798,UnknownPhone,Android,1
67988797,UnknownPhone,Android,1
67988797,UnknownPhone,Android,1
67988796,iPhone,iOS,1
67988796,iPhone,iOS,1
67988795,UnknownPhone,Android,1
67988795,UnknownPhone,Android,1
67988795,UnknownPhone,Android,1
67988793,desktop,Windows,1
67988792,UnknownPhone,Android,1
67988792,UnknownPhone,Android,1
67988792,UnknownPhone,Android,1
67988792,UnknownPhone,Android,1
67988790,iPhone,iOS,1
67988790,iPhone,iOS,1
67988789,UnknownPhone,Android,1
67988788,Xiaomi,Android,1
67988788,UnknownPhone,Android,1
67988787,Alcatel,Android,1
67988786,Motorola,Android,1
67988785,UnknownPhone,Android,1
67988785,UnknownPhone,Android,1
67988785,UnknownPhone,Android,1
67988785,UnknownPhone,Android,1
67988783,iPhone,iOS,1
67988783,iPhone,iOS,1
67988782,iPhone,iOS,1
67988782,UnknownPhone,Android,1
67988782,iPhone,iOS,1
67988782,UnknownPhone,Android,1
67988780,UnknownPhone,Android,1
67988780,UnknownPhone,Android,1
67988779,UnknownPhone,Android,1
67988779,UnknownPhone,Android,1
67988778,Alcatel,Android,1
67988778,Alcatel,Android,1
67988777,UnknownPhone,Android,1
67988777,UnknownPhone,Android,1
67988776,UnknownPhone,Android,1
67988776,UnknownPhone,Android,1
67988775,Samsung,Android,1
67988775,iPhone,iOS,1
67988775,Samsung,Android,1
67988773,Pixel,Android,1
67988772,UnknownPhone,Android,1
67988772,UnknownPhone,Android,1
67988772,UnknownPhone,Android,1
67988770,UnknownPhone,Android,1
67988770,UnknownPhone,Android,1
67988769,UnknownPhone,Android,1
67988769,UnknownPhone,Android,1
67988768,desktop,Windows,1
67988767,iPhone,iOS,1
67988767,iPhone,iOS,1
67988766,UnknownPhone,Android,1
67988766,UnknownPhone,Android,1
67988765,Alcatel,Android,1
67988765,Alcatel,Android,1
67988763,iPhone,iOS,1
67988762,Samsung,Android,1
67988762,Samsung,Android,1
67988762,UnknownPhone,Android,1
67988762,UnknownPhone,Android,1
67988760,UnknownPhone,Android,1
67988760,UnknownPhone,Android,1
67988759,Samsung,Android,1
67988759,UnknownPhone,Android,1
67988759,UnknownPhone,Android,1
67988759,UnknownPhone,Android,1
67988759,UnknownPhone,Android,1
67988758,UnknownPhone,Android,1
67988758,UnknownPhone,Android,1
67988758,iPhone,iOS,1
67988758,iPhone,iOS,1
67988757,UnknownPhone,Android,1
67988757,UnknownPhone,Android,1
67988757,UnknownPhone,Android,1
67988757,UnknownPhone,Android,1
67988756,iPhone,iOS,1
67988756,iPhone,iOS,1
67988756,Samsung,Android,1
67988755,iPhone,iOS,1
67988755,iPhone,iOS,1
67988755,iPhone,iOS,1
67988755,UnknownPhone,Android,1
67988755,iPhone,iOS,1
67988755,UnknownPhone,Android,1
67988755,desktop,Windows,1
67988753,UnknownPhone,Android,1
67988753,UnknownPhone,Android,1
67988753,desktop,OS X,1
67988752,UnknownPhone,Android,1
67988752,UnknownPhone,Android,1
67988752,UnknownPhone,Android,1
67988752,desktop,OS X,1
67988752,iPhone,iOS,1
67988752,iPhone,iOS,1
67988750,OnePlus,Android,1
67988750,OnePlus,Android,1
67988750,UnknownPhone,Android,1
67988750,UnknownPhone,Android,1
67988739,desktop,Windows,1
67988738,UnknownPhone,Android,1
67988738,UnknownPhone,Android,1
67988737,Samsung,Android,1
67988737,Samsung,Android,1
67988736,UnknownPhone,Android,1
67988736,UnknownPhone,Android,1
67988735,UnknownPhone,Android,1
67988735,UnknownPhone,Android,1
